"frameCount";"StaticqueueDensity";"currentNoOfBlobs"
"2";"0";"3"
"3";"1";"2"
"4";"0";"3"
"5";"0";"4"
"6";"2";"2"
"7";"2";"2"
"8";"2";"2"
"9";"2";"2"
"10";"2";"3"
"11";"1";"3"
"12";"3";"1"
"13";"1";"3"
"14";"1";"3"
"15";"2";"2"
"16";"1";"2"
"17";"1";"2"
"18";"1";"2"
"19";"1";"2"
"20";"1";"2"
"21";"1";"2"
"22";"1";"2"
"23";"1";"2"
"24";"1";"2"
"25";"0";"3"
"26";"0";"4"
"27";"1";"3"
"28";"0";"4"
"29";"0";"4"
"30";"1";"3"
"31";"0";"4"
"32";"0";"4"
"33";"1";"3"
"34";"0";"4"
"35";"1";"3"
"36";"1";"4"
"37";"0";"3"
"38";"0";"3"
"39";"0";"4"
"40";"0";"4"
"41";"0";"4"
"42";"0";"3"
"43";"0";"4"
"44";"1";"3"
"45";"1";"3"
"46";"1";"3"
"47";"2";"2"
"48";"1";"3"
"49";"2";"2"
"50";"2";"2"
"51";"1";"3"
"52";"2";"2"
"53";"2";"2"
"54";"1";"4"
"55";"2";"3"
"56";"1";"5"
"57";"3";"3"
"58";"2";"5"
"59";"2";"5"
"60";"4";"3"
"61";"3";"5"
"62";"3";"5"
"63";"5";"3"
"64";"5";"4"
"65";"5";"4"
"66";"5";"2"
"67";"5";"3"
"68";"5";"3"
"69";"5";"2"
"70";"5";"3"
"71";"5";"3"
"72";"5";"3"
"73";"5";"4"
"74";"5";"3"
"75";"5";"3"
"76";"5";"2"
"77";"5";"2"
"78";"5";"3"
"79";"5";"3"
"80";"5";"3"
"81";"6";"2"
"82";"5";"4"
"83";"6";"3"
"84";"5";"4"
"85";"5";"4"
"86";"5";"4"
"87";"6";"3"
"88";"5";"4"
"89";"4";"5"
"90";"6";"3"
"91";"5";"3"
"92";"5";"5"
"93";"7";"3"
"94";"5";"4"
"95";"4";"5"
"96";"7";"2"
"97";"6";"4"
"98";"6";"4"
"99";"8";"2"
"100";"7";"4"
"101";"7";"3"
"102";"7";"4"
"103";"7";"3"
"104";"7";"4"
"105";"6";"3"
"106";"6";"4"
"107";"6";"4"
"108";"6";"4"
"109";"6";"4"
"110";"6";"3"
"111";"6";"3"
"112";"6";"5"
"113";"6";"5"
"114";"6";"4"
"115";"6";"5"
"116";"6";"5"
"117";"6";"4"
"118";"6";"6"
"119";"6";"6"
"120";"6";"5"
"121";"5";"7"
"122";"4";"7"
"123";"6";"5"
"124";"5";"7"
"125";"6";"6"
"126";"6";"5"
"127";"5";"8"
"128";"5";"6"
"129";"7";"4"
"130";"6";"6"
"131";"5";"5"
"132";"6";"4"
"133";"6";"6"
"134";"5";"6"
"135";"7";"4"
"136";"5";"7"
"137";"7";"5"
"138";"5";"6"
"139";"6";"5"
"140";"6";"4"
"141";"5";"5"
"142";"5";"5"
"143";"4";"6"
"144";"7";"3"
"145";"5";"5"
"146";"5";"5"
"147";"9";"1"
"148";"5";"5"
"149";"5";"5"
"150";"7";"3"
"151";"6";"4"
"152";"6";"4"
"153";"8";"2"
"154";"5";"5"
"155";"5";"5"
"156";"9";"1"
"157";"5";"5"
"158";"6";"4"
"159";"10";"0"
"160";"6";"4"
"161";"6";"4"
"162";"10";"0"
"163";"5";"5"
"164";"6";"4"
"165";"10";"0"
"166";"8";"2"
"167";"8";"2"
"168";"10";"0"
"169";"7";"4"
"170";"7";"4"
"171";"11";"0"
"172";"8";"3"
"173";"10";"1"
"174";"11";"0"
"175";"10";"2"
"176";"10";"1"
"177";"11";"0"
"178";"9";"2"
"179";"10";"1"
"180";"11";"0"
"181";"10";"2"
"182";"11";"1"
"183";"11";"0"
"184";"11";"0"
"185";"10";"1"
"186";"11";"0"
"187";"11";"0"
"188";"11";"0"
"189";"11";"0"
"190";"11";"0"
"191";"11";"0"
"192";"11";"0"
"193";"11";"0"
"194";"11";"0"
"195";"11";"0"
"196";"11";"0"
"197";"11";"0"
"198";"11";"0"
"199";"11";"0"
"200";"11";"0"
"201";"11";"0"
"202";"11";"0"
"203";"11";"0"
"204";"11";"0"
"205";"11";"0"
"206";"10";"1"
"207";"11";"0"
"208";"10";"1"
"209";"11";"0"
"210";"11";"0"
"211";"11";"0"
"212";"11";"0"
"213";"11";"0"
"214";"10";"1"
"215";"11";"0"
"216";"11";"0"
"217";"11";"0"
"218";"11";"0"
"219";"11";"0"
"220";"11";"0"
"221";"11";"0"
"222";"11";"0"
"223";"11";"0"
"224";"11";"0"
"225";"11";"0"
"226";"11";"0"
"227";"11";"0"
"228";"11";"0"
"229";"11";"0"
"230";"10";"1"
"231";"11";"0"
"232";"10";"1"
"233";"11";"0"
"234";"11";"0"
"235";"11";"0"
"236";"11";"0"
"237";"11";"0"
"238";"11";"0"
"239";"11";"0"
"240";"11";"0"
"241";"10";"1"
"242";"10";"1"
"243";"10";"0"
"244";"10";"1"
"245";"10";"1"
"246";"10";"1"
"247";"10";"1"
"248";"10";"1"
"249";"10";"0"
"250";"9";"1"
"251";"10";"0"
"252";"10";"0"
"253";"9";"1"
"254";"9";"1"
"255";"10";"0"
"256";"10";"0"
"257";"10";"0"
"258";"10";"0"
"259";"10";"0"
"260";"10";"0"
"261";"10";"0"
"262";"10";"0"
"263";"10";"0"
"264";"10";"0"
"265";"10";"0"
"266";"10";"0"
"267";"10";"0"
"268";"10";"0"
"269";"10";"0"
"270";"10";"0"
"271";"10";"0"
"272";"10";"0"
"273";"10";"0"
"274";"10";"0"
"275";"10";"1"
"276";"10";"0"
"277";"10";"0"
"278";"10";"0"
"279";"10";"0"
"280";"10";"1"
"281";"10";"1"
"282";"10";"2"
"283";"10";"1"
"284";"10";"1"
"285";"10";"2"
"286";"10";"1"
"287";"9";"2"
"288";"9";"2"
"289";"10";"1"
"290";"10";"1"
"291";"10";"1"
"292";"10";"2"
"293";"10";"2"
"294";"10";"1"
"295";"10";"1"
"296";"10";"1"
"297";"10";"1"
"298";"10";"1"
"299";"9";"1"
"300";"10";"0"
"301";"10";"0"
"302";"10";"0"
"303";"10";"0"
"304";"10";"0"
"305";"10";"0"
"306";"10";"0"
"307";"10";"0"
"308";"10";"0"
"309";"9";"1"
"310";"9";"1"
"311";"9";"1"
"312";"9";"1"
"313";"9";"1"
"314";"9";"1"
"315";"10";"0"
"316";"9";"1"
"317";"10";"0"
"318";"10";"0"
"319";"9";"1"
"320";"9";"1"
"321";"9";"1"
"322";"9";"1"
"323";"9";"1"
"324";"9";"1"
"325";"9";"1"
"326";"9";"1"
"327";"10";"0"
"328";"10";"0"
"329";"9";"1"
"330";"10";"0"
"331";"10";"0"
"332";"10";"0"
"333";"10";"0"
"334";"10";"0"
"335";"10";"0"
"336";"10";"0"
"337";"9";"1"
"338";"10";"0"
"339";"10";"0"
"340";"10";"0"
"341";"10";"0"
"342";"10";"0"
"343";"10";"0"
"344";"10";"0"
"345";"10";"1"
"346";"10";"1"
"347";"10";"1"
"348";"10";"2"
"349";"10";"1"
"350";"10";"1"
"351";"10";"2"
"352";"10";"1"
"353";"10";"1"
"354";"10";"2"
"355";"10";"2"
"356";"10";"1"
"357";"10";"2"
"358";"9";"1"
"359";"9";"1"
"360";"9";"2"
"361";"9";"1"
"362";"9";"1"
"363";"9";"2"
"364";"9";"1"
"365";"9";"1"
"366";"8";"2"
"367";"9";"1"
"368";"9";"1"
"369";"8";"2"
"370";"8";"2"
"371";"8";"2"
"372";"8";"2"
"373";"8";"2"
"374";"8";"2"
"375";"8";"2"
"376";"8";"2"
"377";"8";"2"
"378";"8";"2"
"379";"8";"2"
"380";"8";"2"
"381";"8";"2"
"382";"8";"2"
"383";"8";"2"
"384";"8";"2"
"385";"8";"3"
"386";"8";"3"
"387";"8";"3"
"388";"8";"3"
"389";"8";"3"
"390";"8";"3"
"391";"9";"2"
"392";"9";"2"
"393";"9";"2"
"394";"8";"3"
"395";"9";"2"
"396";"9";"1"
"397";"7";"3"
"398";"7";"3"
"399";"9";"1"
"400";"6";"5"
"401";"7";"4"
"402";"10";"1"
"403";"10";"2"
"404";"10";"2"
"405";"10";"1"
"406";"9";"3"
"407";"9";"2"
"408";"9";"2"
"409";"9";"4"
"410";"9";"4"
"411";"9";"4"
"412";"9";"4"
"413";"9";"4"
"414";"9";"5"
"415";"8";"5"
"416";"8";"4"
"417";"8";"6"
"418";"7";"6"
"419";"9";"4"
"420";"9";"6"
"421";"9";"5"
"422";"9";"8"
"423";"7";"6"
"424";"6";"7"
"425";"6";"6"
"426";"5";"7"
