"frameCount";"StaticqueueDensity";"currentNoOfBlobs"
"10";"0";"3"
"20";"1";"2"
"30";"1";"3"
"40";"0";"4"
"50";"2";"2"
"60";"1";"3"
"70";"2";"4"
"80";"3";"3"
"90";"3";"3"
"100";"2";"4"
"110";"3";"3"
"120";"2";"5"
"130";"0";"4"
"140";"0";"7"
"150";"5";"2"
"160";"4";"3"
"170";"2";"5"
"180";"5";"2"
"190";"7";"0"
"200";"7";"0"
"210";"7";"0"
"220";"7";"0"
"230";"7";"0"
"240";"6";"1"
"250";"7";"0"
"260";"6";"1"
"270";"7";"0"
"280";"6";"1"
"290";"6";"1"
"300";"7";"0"
"310";"7";"0"
"320";"6";"1"
"330";"6";"1"
"340";"7";"0"
"350";"6";"1"
"360";"5";"2"
"370";"5";"2"
"380";"5";"2"
"390";"5";"2"
"400";"3";"4"
"410";"2";"5"
"420";"3";"6"
"430";"2";"7"
"440";"2";"9"
"450";"7";"4"
"460";"5";"6"
"470";"6";"5"
"480";"12";"1"
"490";"10";"0"
"500";"10";"0"
