"frameCount";"StaticqueueDensity";"currentNoOfBlobs"
"4";"0";"3"
"7";"1";"2"
"10";"1";"3"
"13";"0";"3"
"16";"0";"2"
"19";"0";"2"
"22";"0";"2"
"25";"0";"3"
"28";"0";"4"
"31";"0";"4"
"34";"0";"4"
"37";"0";"3"
"40";"0";"4"
"43";"0";"4"
"46";"1";"3"
"49";"2";"2"
"52";"2";"2"
"55";"2";"3"
"58";"1";"5"
"61";"1";"5"
"64";"2";"4"
"67";"2";"3"
"70";"2";"3"
"73";"2";"4"
"76";"2";"2"
"79";"2";"3"
"82";"2";"4"
"85";"2";"4"
"88";"2";"4"
"91";"2";"3"
"94";"2";"4"
"97";"2";"4"
"100";"2";"4"
"103";"2";"3"
"106";"1";"4"
"109";"1";"4"
"112";"1";"5"
"115";"1";"5"
"118";"1";"6"
"121";"0";"7"
"124";"0";"7"
"127";"0";"8"
"130";"2";"6"
"133";"2";"6"
"136";"0";"7"
"139";"2";"5"
"142";"1";"5"
"145";"1";"5"
"148";"1";"5"
"151";"2";"4"
"154";"1";"5"
"157";"1";"5"
"160";"2";"4"
"163";"1";"5"
"166";"4";"2"
"169";"3";"4"
"172";"3";"3"
"175";"4";"2"
"178";"3";"2"
"181";"3";"2"
"184";"5";"0"
"187";"5";"0"
"190";"5";"0"
"193";"5";"0"
"196";"5";"0"
"199";"5";"0"
"202";"5";"0"
"205";"5";"0"
"208";"4";"1"
"211";"5";"0"
"214";"4";"1"
"217";"5";"0"
"220";"5";"0"
"223";"5";"0"
"226";"5";"0"
"229";"5";"0"
"232";"4";"1"
"235";"5";"0"
"238";"5";"0"
"241";"4";"1"
"244";"4";"1"
"247";"4";"1"
"250";"3";"1"
"253";"3";"1"
"256";"4";"0"
"259";"4";"0"
"262";"4";"0"
"265";"4";"0"
"268";"4";"0"
"271";"4";"0"
"274";"4";"0"
"277";"4";"0"
"280";"4";"1"
"283";"4";"1"
"286";"4";"1"
"289";"4";"1"
"292";"4";"2"
"295";"4";"1"
"298";"4";"1"
"301";"4";"0"
"304";"4";"0"
"307";"4";"0"
"310";"3";"1"
"313";"3";"1"
"316";"3";"1"
"319";"3";"1"
"322";"3";"1"
"325";"3";"1"3"328";"4";"0"3"331";"4";"0"3"334";"4";"0"3"337";"3";"1"3"340";"4";"0"3"343";"4";"0"3"346";"4";"1"3"349";"4";"1"3"352";"4";"1"3"355";"4";"2"3"358";"3";"1"
"361";"3";"1"
"364";"3";"1"
"367";"3";"1"
"370";"2";"2"
"373";"2";"2"
"376";"2";"2"
"379";"2";"2"
"382";"2";"2"
"385";"2";"3"
"388";"2";"3"
"391";"3";"2"
"394";"2";"3"
"397";"1";"3"
"400";"0";"5"
"403";"3";"2"
"406";"2";"3"
"409";"2";"4"
"412";"2";"4"
"415";"1";"5"
"418";"0";"6"
"421";"1";"5"
"424";"1";"7"
"427";"0";"7"
"430";"0";"7"
"433";"0";"8"
"436";"0";"9"
"439";"0";"10"
"442";"0";"9"
"445";"0";"9"
"448";"3";"6"
"451";"0";"9"
"454";"1";"8"
"457";"0";"10"
"460";"3";"7"
"463";"6";"4"
"466";"6";"4"
"469";"5";"5"
"472";"8";"2"
"475";"9";"1"
"478";"9";"1"
"481";"9";"1"
"484";"10";"0"
"487";"10";"0"
"490";"10";"0"
"493";"10";"0"
"496";"10";"0"
"499";"10";"0"
"502";"10";"0"
"505";"10";"1"
"508";"10";"1"
"511";"10";"1"
"514";"10";"1"
"517";"9";"1"
"520";"9";"1"
"523";"9";"1"
"526";"9";"1"
"529";"9";"2"
"532";"9";"2"
"535";"8";"2"
"538";"7";"3"
"541";"8";"2"""544";"8";"2"""547";"8";"2""552";"5";"1"
"555";"6";"0"
"558";"6";"0"
"561";"6";"0"
"564";"6";"0"
"567";"6";"0"
"570";"6";"0"
"573";"6";"0"
"576";"6";"0"
"579";"6";"0"
"582";"6";"0"
"585";"6";"0"
"588";"6";"0"
"591";"6";"0"
"594";"6";"0"
"597";"6";"0"
"600";"6";"0"
"603";"6";"0"
"606";"6";"0"
"609";"6";"0"
"612";"6";"0"
"615";"6";"0"
"618";"6";"0"
"621";"6";"0"
"624";"6";"0"
"627";"6";"0"
"630";"6";"0"
"633";"6";"0"
"636";"6";"0"
"639";"6";"0"
"642";"6";"0"
"645";"6";"0"
"648";"6";"0"
"651";"6";"0"
"654";"6";"0"
"657";"6";"0"
"660";"6";"0"
"663";"6";"0"
"666";"6";"0"
"669";"6";"0"
"672";"6";"0"
"675";"6";"0"
"678";"6";"0"
"681";"6";"0"
"684";"6";"0"
"687";"6";"0"
"690";"6";"0"
"693";"6";"0"
"696";"6";"0"
"699";"6";"0"
"702";"6";"0"
"705";"6";"0"
"708";"6";"0"
"711";"6";"0"
"714";"6";"0"
"717";"6";"0"
"720";"6";"0"
"723";"6";"0"
"726";"6";"0"
"729";"6";"0"
"732";"6";"0"
"735";"6";"0"
"738";"6";"0"
"741";"6";"0"
"744";"6";"0"
"747";"6";"0"
"750";"6";"0"
"753";"6";"0"
"756";"6";"0"
"759";"6";"0"
"762";"6";"0"
"765";"6";"0"
