"frameCount";"StaticqueueDensity";"currentNoOfBlobs"
"2";"0";"3"
"3";"1";"2"
"4";"0";"3"
"5";"0";"4"
"6";"2";"2"
"7";"2";"2"
"8";"2";"2"
"9";"2";"2"
"10";"2";"3"
"11";"2";"3"
"12";"4";"1"
"13";"2";"3"
"14";"2";"3"
"15";"3";"2"
"16";"3";"2"
"17";"3";"2"
"18";"3";"2"
"19";"3";"2"
"20";"3";"2"
"21";"3";"2"
"22";"3";"2"
"23";"3";"2"
"24";"3";"2"
"25";"3";"2"
"26";"3";"3"
"27";"5";"4"
"28";"2";"4"
"29";"3";"3"
"30";"2";"4"
"31";"2";"4"
"32";"3";"3"
"33";"2";"4"
"34";"3";"3"
"35";"3";"3"
"36";"2";"4"
"37";"3";"3"
"38";"3";"3"
"39";"2";"4"
"40";"2";"4"
"41";"3";"3"
"42";"3";"3"
"43";"2";"4"
"44";"4";"2"
"45";"3";"3"
"46";"5";"1"
"47";"4";"2"
"48";"3";"3"
"49";"4";"2"
"50";"4";"2"
"51";"3";"3"
"52";"4";"2"
"53";"4";"2"
"54";"2";"4"
"55";"2";"4"
"56";"3";"3"
"57";"1";"5"
"58";"0";"6"
"59";"2";"4"
"60";"1";"5"
"61";"1";"5"
"62";"3";"3"
"63";"2";"4"
"64";"2";"4"
"65";"3";"3"
"66";"3";"3"
"67";"2";"4"
"68";"3";"3"
"69";"2";"4"
"70";"2";"4"
"71";"2";"4"
"72";"2";"5"
"73";"3";"4"
"74";"3";"4"
"75";"5";"2"
"76";"5";"2"
"77";"4";"3"
"78";"4";"3"
"79";"4";"3"
"80";"5";"2"
"81";"3";"4"
"82";"5";"2"
"83";"3";"4"
"84";"3";"4"
"85";"3";"4"
"86";"4";"3"
"87";"3";"4"
"88";"2";"5"
"89";"4";"3"
"90";"4";"3"
"91";"3";"4"
"92";"4";"3"
"93";"3";"4"
"94";"3";"4"
"95";"3";"4"
"96";"4";"3"
"97";"4";"3"
"98";"3";"4"
"99";"5";"2"
"100";"3";"4"
"101";"4";"3"
"102";"3";"4"
"103";"4";"3"
"104";"4";"3"
"105";"3";"4"
"106";"3";"4"
"107";"3";"4"
"108";"3";"4"
"109";"4";"3"
"110";"4";"3"
"111";"3";"4"
"112";"3";"5"
"113";"3";"5"
"114";"4";"4"
"115";"3";"5"
"116";"3";"5"
"117";"4";"4"
"118";"3";"6"
"119";"3";"6"
"120";"3";"6"
"121";"2";"7"
"122";"4";"5"
"123";"1";"8"
"124";"2";"7"
"125";"3";"6"
"126";"0";"9"
"127";"2";"7"
"128";"4";"5"
"129";"3";"6"
"130";"3";"6"
"131";"4";"5"
"132";"3";"6"
"133";"2";"7"
"134";"4";"5"
"135";"3";"6"
"136";"2";"7"
"137";"3";"6"
"138";"4";"5"
"139";"4";"5"
"140";"3";"6"
"141";"5";"4"
"142";"2";"7"
"143";"5";"4"
"144";"4";"5"
"145";"4";"5"
"146";"5";"4"
"147";"6";"3"
"148";"5";"4"
"149";"4";"5"
"150";"6";"3"
"151";"5";"4"
"152";"6";"3"
"153";"5";"4"
"154";"4";"5"
"155";"7";"2"
"156";"5";"4"
"157";"4";"5"
"158";"8";"1"
"159";"6";"3"
"160";"6";"3"
"161";"7";"2"
"162";"6";"3"
"163";"4";"5"
"164";"8";"1"
"165";"9";"0"
"166";"7";"2"
"167";"7";"2"
"168";"7";"2"
"169";"5";"4"
"170";"7";"2"
"171";"7";"2"
"172";"8";"1"
"173";"8";"1"
"174";"8";"1"
"175";"8";"1"
"176";"8";"1"
"177";"8";"1"
"178";"8";"1"
"179";"8";"1"
"180";"8";"1"
"181";"8";"1"
"182";"9";"0"
"183";"9";"0"
"184";"9";"0"
"185";"8";"1"
"186";"9";"0"
"187";"9";"0"
"188";"9";"0"
"189";"9";"0"
"190";"9";"0"
"191";"9";"0"
"192";"9";"0"
"193";"9";"0"
"194";"9";"0"
"195";"9";"0"
"196";"9";"0"
"197";"9";"0"
"198";"9";"0"
"199";"9";"0"
"200";"9";"0"
"201";"9";"0"
"202";"9";"0"
"203";"9";"0"
"204";"9";"0"
"205";"8";"1"
"206";"9";"0"
"207";"8";"1"
"208";"9";"0"
"209";"9";"0"
"210";"9";"0"
"211";"9";"0"
"212";"9";"0"
"213";"8";"1"
"214";"9";"0"
"215";"9";"0"
"216";"9";"0"
"217";"9";"0"
"218";"9";"0"
"219";"9";"0"
"220";"9";"0"
"221";"9";"0"
"222";"9";"0"
"223";"9";"0"
"224";"9";"0"
"225";"9";"0"
"226";"9";"0"
"227";"9";"0"
"228";"9";"0"
"229";"8";"1"
"230";"9";"0"
"231";"8";"1"
"232";"9";"0"
"233";"9";"0"
"234";"9";"0"
"235";"9";"0"
"236";"9";"0"
"237";"9";"0"
"238";"9";"0"
"239";"9";"0"
"240";"8";"1"
"241";"8";"1"
"242";"9";"0"
"243";"8";"1"
"244";"8";"1"
"245";"8";"1"
"246";"8";"1"
"247";"8";"1"
"248";"9";"0"
"249";"8";"1"
"250";"9";"0"
"251";"9";"0"
"252";"8";"1"
"253";"8";"1"
"254";"9";"0"
"255";"9";"0"
"256";"9";"0"
"257";"9";"0"
"258";"9";"0"
"259";"9";"0"
"260";"9";"0"
"261";"9";"0"
"262";"9";"0"
"263";"9";"0"
"264";"9";"0"
"265";"9";"0"
"266";"9";"0"
"267";"9";"0"
"268";"9";"0"
"269";"9";"0"
"270";"9";"0"
"271";"9";"0"
"272";"9";"0"
"273";"9";"0"
"274";"8";"1"
"275";"9";"0"
"276";"9";"0"
"277";"9";"0"
"278";"9";"0"
"279";"9";"0"
"280";"8";"1"
"281";"8";"1"
"282";"7";"2"
"283";"8";"1"
"284";"8";"1"
"285";"7";"2"
"286";"7";"2"
"287";"7";"2"
"288";"8";"1"
"289";"8";"1"
"290";"8";"1"
"291";"8";"1"
"292";"7";"2"
"293";"7";"2"
"294";"8";"1"
"295";"8";"1"
"296";"8";"1"
"297";"8";"1"
"298";"8";"1"
"299";"8";"1"
"300";"9";"0"
"301";"9";"0"
"302";"9";"0"
"303";"9";"0"
"304";"9";"0"
"305";"9";"0"
"306";"9";"0"
"307";"9";"0"
"308";"8";"1"
"309";"8";"1"
"310";"8";"1"
"311";"8";"1"
"312";"8";"1"
"313";"8";"1"
"314";"9";"0"
"315";"8";"1"
"316";"9";"0"
"317";"9";"0"
"318";"8";"1"
"319";"8";"1"
"320";"8";"1"
"321";"8";"1"
"322";"8";"1"
"323";"8";"1"
"324";"8";"1"
"325";"8";"1"
"326";"9";"0"
"327";"9";"0"
"328";"8";"1"
"329";"9";"0"
"330";"9";"0"
"331";"9";"0"
"332";"9";"0"
"333";"9";"0"
"334";"9";"0"
"335";"9";"0"
"336";"8";"1"
"337";"9";"0"
"338";"9";"0"
"339";"9";"0"
"340";"9";"0"
"341";"9";"0"
"342";"9";"0"
"343";"9";"0"
"344";"9";"0"
"345";"8";"1"
"346";"8";"1"
"347";"8";"1"
"348";"7";"2"
"349";"8";"1"
"350";"8";"1"
"351";"7";"2"
"352";"8";"1"
"353";"8";"1"
"354";"7";"2"
"355";"7";"2"
"356";"8";"1"
"357";"7";"2"
"358";"8";"1"
"359";"8";"1"
"360";"7";"2"
"361";"8";"1"
"362";"8";"1"
"363";"7";"2"
"364";"8";"1"
"365";"8";"1"
"366";"7";"2"
"367";"8";"1"
"368";"8";"1"
"369";"7";"2"
"370";"7";"2"
"371";"7";"2"
"372";"7";"2"
"373";"7";"2"
"374";"7";"2"
"375";"7";"2"
"376";"7";"2"
"377";"7";"2"
"378";"7";"2"
"379";"7";"2"
"380";"7";"2"
"381";"7";"2"
"382";"7";"2"
"383";"7";"2"
"384";"7";"2"
"385";"7";"2"
"386";"6";"3"
"387";"6";"3"
"388";"6";"3"
"389";"6";"3"
"390";"7";"2"
"391";"7";"2"
"392";"7";"2"
"393";"7";"2"
"394";"7";"2"
"395";"7";"2"
"396";"8";"1"
"397";"6";"3"
"398";"6";"3"
"399";"7";"2"
"400";"5";"4"
"401";"5";"4"
"402";"8";"1"
"403";"7";"2"
"404";"7";"2"
"405";"8";"1"
"406";"6";"3"
"407";"7";"2"
"408";"7";"2"
"409";"5";"4"
"410";"5";"4"
"411";"5";"4"
"412";"5";"4"
"413";"5";"4"
"414";"3";"6"
"415";"4";"5"
"416";"6";"3"
"417";"3";"7"
"418";"5";"5"
"419";"5";"5"
"420";"3";"7"
"421";"4";"6"
"422";"3";"9"
"423";"5";"7"
"424";"4";"8"
"425";"6";"6"
"426";"5";"7"
